Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
16,Burberry,C241276,,Beige Nova Check Duffle Travel Bag,,,,16500.0,,,23000,,,11000.0,,,1540.0,10560.000000000002,5940.0,True,,,piping exposed
17,Chanel,C258876,,Quilted shoulder bag in dark grey,,,pouch,130000.0,,,150000,,,,,,,,,False,,,powdery
18,Prada,C277609,,Vintage beige leather handbag,,,,22660.0,,,30000,,,,,,,,,False,,,broken strap
19,Louis Vuitton,C241483,,Damier Ebene Neverfull PM,,,,65540.0,,,70000,,,54000.0,,,2640.0,56760.00000000001,8780.0,True,,,"Damaged leather string on the sides, strap cracks"
20,MCM,C244896,,Authentic Visetos travel bag in brown,,,strap,24596.0,,,32000,,,15000.0,,,1540.0,14960.0,,False,,,
21,Chanel,C217666,,Vintage black leather briefcase style,,,,71379.0,,,75000,,,,,,,,,False,,,broken handle
22,Louis Vuitton,C213356,,Brown Damier canvas zip wallet,,,,28325.0,,,32000,,,22000.0,,,1540.0,22660.000000000004,5665.0,True,,,"Has hole on corner of zipper, smelly"
23,Fendi,C268507,,Mini Baguette bag in brown velvet,,,,79310.0,,,82000,,,,,,,,,False,,,"tear, peeling"
24,Chanel,C280801,,Stylish black shield sunglasses,,,case,10395.0,,,12000,,,6000.0,,,990.0,5610.000000000001,,False,,,scratches
25,Chanel,C218041,,Black Patent Leather Key Case,,,,30601.0,,,40000,,,,,,,,,False,,,damaged patent leather
26,Fendi,C237127,,Multicolor fur and leather bag charm,,,,15820.0,,,20000,,,,,,,,,False,,,
27,Chanel,C267262,,Elegant gold textured link bracelet,,,,30800.0,,,36000,,,29000.0,,,1540.0,30360.000000000004,440.0,True,,,visible patina
28,Chanel,C250199,,Gold Plated Swirl Clip On Earrings,,,,21600.0,,,25000,,,12000.0,,,1540.0,11660.000000000002,,False,,,missing clip
29,Hermès,C92632,,"Necklace, Clou de selle, Bijouterie fantaisie, Gold plated metal",,,,15900.0,,,25000,,,,,,,,,False,,,oxidation
30,Hermès,C210195,,Orange cord with palladium-plated accents,,,,12789.5,,,20000,,,,,,,,,False,,,scratches
31,Hermès,C235194,,Gold Plated Horse Head Pendant Necklace,,,,25673.8,,,35000,,,17000.0,,,1540.0,17160.0,8513.8,True,,,peeling
32,Stella McCartney,C270243,,Vegan leather crossbody bag in gray,,,,23000.0,,,30000,,,24000.0,,,1540.0,24860.000000000004,-1860.0,True,,,
33,Chanel,C266564,,Matelassé lambskin shoulder bag with chain,,,,181280.0,,,200000,,,,,,,,,False,,,"peeling, scratches"
34,Louis Vuitton,C244770,,"Pochette apollo, Monogram",,,,40788.0,,,500000,,,,,,,,,False,,,peeled exterior
35,Louis Vuitton,C271244,,"Bucket, Damier Ebene, Canvas",,,,30591.0,,,35000,,,17000.0,,,1540.0,17160.0,,False,,,damaged interior
36,Hermès,C243797,,"Crossbody Bag, Leather エルメスヌメア",,,,123170.0,,,130000,,,,,,,,,False,,,
37,Louis Vuitton,C256155,,レザー ユタ キオワ カフェ AR3087 M95453,,,,45100.0,,,53000,,,29000.0,,,1540.0,30360.000000000004,,False,,,
38,MCM,C254719,,"Crossbody Bag, Plastic",,,dustcover,8904.0,,,12000,,,,,,,,,False,,,broken handle
39,Prada,C225498,,グローブ,,,box,19800.0,,,23000,,,11000.0,,,1540.0,10560.000000000002,,False,,,
40,Chanel,C239414,,ツイード セットアップ,,,,115500.0,,,130000,,,91000.0,,,2640.0,97460.00000000001,,False,,,
41,Chanel,C152927,,Vintage black wool cowl neck sweater,,,,25388.0,,,30000,,,16000.0,,,1540.0,16060.0,-10912.0,True,,,2024-11-08 00:00:00
42,Bulgari,C204802,,"Scarf/Shawl, Fine Animal Hair",,,,22984.2,,,30000,,,,,,,,,False,,,
43,Burberry,C241071,,"Hat, Textile",,,,29627.0,,,35000,,,,,,,,,False,,,
44,Louis Vuitton,C219060,,ガーメントカバー,,,,12705.0,,,15000,,,,,,,,,False,,,damaged
45,Tod's,C234711,,"Footwear Covered, Leather",,,,24882.0,,,30000,,,,,,,,,False,,,
1,Chanel,C307665,,"H0001 プルミエール M サイズ M.K.20142 ブラック ダイアル ウォッチ, クオーツ, GP/レザー, 47.0g, 15cm, Case 20mm, リューズ抜け",,,,105369.0,,,110000,,,,,,,,18260.0,True,,,リューズが固定されていない
2,OMEGA,C308683,,"コンステレーション ゴールド ダイアル ウォッチ, クオーツ, SS/YG, 47.3g, 約 15.5cm, Case 22mm",,,,111100.0,,,120000,,,,,,,,,False,,,裏取れてる
3,Gucci,C308484,,"105 フラワー モチーフ ゴールド ダイアル ウォッチ, クオーツ, 防水, SS, 36.4g, Case 26mm",,,,3333.0,,,15000,,,,,,,,5577.0,True,,,部品足りない　色々壊れてる
4,Bulgari,C308631,,"レッタンゴロ RTC49S L5068 ホワイト ダイアル ウォッチ, クオーツ, SS, 123.0g, 約 17.5cm, Case 29mm",,,,55550.0,,,60000,,,,,,,,,False,,,一部部品取れてる
5,Bulgari,C308541,,"ブルガリ BB23SL ウーマンズ ブラック 12PD ダイアル ウォッチ, クオーツ, SS/レザー, 18.0g, 約 16.5cm, Case 23mm",,,,55550.0,,,60000,,,,,,,,,False,,,エキゾチックレザー
6,Tiffany & Co.,C308605,,"アトラス S0640 シルバー ダイアル ウォッチ, クオーツ, 防水, SV925/レザー, 15.5g, 約 16.5cm, Case 19mm",,,,33330.0,,,40000,,,,,,,,,False,,,エキゾチックレザー
7,Gucci,C308591,,"5500L シルバー ダイアル ウォッチ, クオーツ, 防水, SS/レザー, 23.8g, 約 18cm, Case 27mm",,,,5555.0,,,15000,,,,,,,,-605.0,True,,,エキゾチックレザー
8,Gucci,C308708,,"137.1 ブラック ダイアル ウォッチ, クオーツ, 防水, プラスチック/SS/レザー, 72.3g, 約 20cm, Case 47mm",,,,16995.0,,,20000,,,,,,,,,False,,,エキゾチックレザー
9,Gucci,C286755,,"3600L G ロゴ ブラック ダイアル ウーマンズ ウォッチ, クオーツ, 防水, SS, 74.7g, 17cm, Case 23mm",,,,13007.5,,,15000,,,,,,,,,False,,,修理不可？
10,Hermès,C309045,,"HH1.210 3078521 シルバー ダイアル H ウォッチ, クオーツ, SS/レザー, 24.1g, 約 16cm, Case 21mm",,,,75911.0,,,80000,,,,,,,,6589.0,True,,,修理不可？
11,Hermès,C308535,,"クロアジュール CR1.220 ゴールド ダイアル ウォッチ, クオーツ, SS/GP, 約 17cm, Case 18mm",,,,38120.5,,,45000,,,,,,,,3679.5,True,,,修理不可？
12,Hermès,C308470,,"ラリー アイボリー ダイアル ウォッチ, クオーツ, 防水, SS/GP, 33.9g, 約 15cm, Case 20mm, 箱と証明書付き",,,case,34787.5,,,40000,,,,,,,,,False,,,修理不可？
13,TAG Heuer,C308599,,"373 508 オレンジ カラー ウォッチ, クオーツ, 防水, SS/ラバー, 27.6g, 約 20cm, Case 29mm",,,,8888.0,,,10000,,,,,,,,,False,,,部品取れてる
14,Tiffany & Co.,C308352,,"ティソロ L0133 44-138 ダイヤモンド ベゼル 24PD ホワイト ダイアル ウォッチ, クオーツ, 防水, YG, 76.5g, 約 15.5cm, Case 24mm, 箱付き",,,box case,733260.0,,,750000,,,,,,,,,False,,,不動
15,Cartier,C308351,,"パンテール リュバン 2420 ホワイト シェル ダイアル ウォッチ, クオーツ, 防水, SS, 76.2g, 約 16.5cm, Case 21mm, 箱付き",,,case,156998.0,,,170000,,,,,,,,36162.0,True,,,不動
16,Bulgari,C284931,,"B ゼロ 1 リング, WG750, 9.2g, 13号",,,,116655.0,,,125000,,,,,,,,,False,,,
17,4℃,C285006,,"サファイア リング, K18YG, 2.6g, 10号",,,,29997.0,,,38000,,,,,,,,,False,,,
18,Tiffany & Co.,C286132,,"オープンハート ネックレス, YG750, 4.2g, 40cm",,,,53251.0,,,65000,,,,,,,,15609.0,True,,,
19,Tiffany & Co.,C283228,,"シェル ネックレス, YG750, 3.9g, 46cm",,,,69113.0,,,78000,,,,,,,,14047.0,True,,,
20,Cartier,C284103,,"C2 リング, WG750, 8.0g, 12号",,,,87241.0,,,98000,,,,,,,,,False,,,
21,Louis Vuitton,C286546,,"バグ アンプラント リング, WG750, 8.6g, 18号",,,,116655.0,,,125000,,,,,,,,,False,,,
22,Cartier,C284946,,"C2 リング, K18YG, 7.3g, 8号",,,,77770.0,,,85000,,,,,,,,,False,,,
23,Tasaki,C285863,,"パール & カラーストーン ブローチ, K18YG, 11.4g, 5cm",,,,101101.0,,,120000,,,,,,,,7799.0,True,,,
24,FRED,C307636,,"FRED
フォース10 ハーフ ダイヤモンド ブレスレット, K18WG, 18.0g, 14cm",,,,220935.0,,,240000,,,,,,,,,False,,,
25,No brand,C286534,,"喜平 チェーン ネックレス, PT850, 50.2g, 60cm",,,,271084.0,,,285000,,,,,,,,,False,,,
26,Bulgari,C285005,,"B ゼロ 1 リング, WG750, 11.3g, 14号",,,,126654.0,,,127500,,,,,,,,,False,,,
27,Cartier,C308491,,"タンク フランセーズ SM W51008Q3 アイボリー ダイアル ウォッチ, クオーツ, 防水, SS, 52.9g, 約 14cm, Case 20mm",,,,245878.0,,,255000,,,,,,,,,False,,,不動
